,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
17,18,John Coker,"Mar 8, '96, PHO vs. LAL",24,1,5,11,4,5,0,0,0,0,2,2,1,0,1,0,1,8,0.8,,,2.2,1.6,0.4,0.2,1996
18,19,Rastko Cvetković,"Dec 21, '95, DEN @ SAS",25,1,14,48,5,16,0,1,0,4,4,11,3,2,1,3,11,10,0.313,0.0,0.0,3.4,0.7,0.8,0.2,1996
19,20,Sasha Danilović,"Nov 4, '95, MIA vs. CLE",25,1,19,542,83,184,34,78,55,72,12,46,47,15,3,37,49,255,0.451,0.436,0.764,28.5,13.4,2.4,2.5,1996
20,21,Mark Davis,"Nov 3, '95, MIN @ SAC",22,1,57,571,55,149,4,13,74,116,56,125,47,40,22,68,92,188,0.369,0.308,0.638,10.0,3.3,2.2,0.8,1996
21,22,Andrew DeClercq,"Jan 24, '96, GSW vs. UTA",22,1,22,203,24,50,0,1,11,19,18,39,9,7,5,4,30,59,0.48,0.0,0.579,9.2,2.7,1.8,0.4,1996
22,23,Tyus Edney,"Nov 3, '95, SAC vs. MIN",22,1,80,2481,305,740,53,144,197,252,63,201,491,89,3,192,203,860,0.412,0.368,0.782,31.0,10.8,2.5,6.1,1996
23,24,Vincenzo Esposito,"Nov 15, '95, TOR vs. HOU",26,1,30,282,36,100,13,56,31,39,4,16,23,7,0,39,27,116,0.36,0.232,0.795,9.4,3.9,0.5,0.8,1996
24,25,Michael Finley,"Nov 3, '95, PHO @ LAC",22,1,82,3212,465,976,61,186,242,323,139,374,289,85,31,133,199,1233,0.476,0.328,0.749,39.2,15.0,4.6,3.5,1996
25,26,Sherell Ford,"Nov 3, '95, SEA @ UTA",23,1,28,139,30,80,4,25,26,34,12,24,5,8,1,6,27,90,0.375,0.16,0.765,5.0,3.2,0.9,0.2,1996
26,27,Kevin Garnett*,"Nov 3, '95, MIN @ SAC",19,1,80,2293,361,735,8,28,105,149,175,501,145,86,131,110,189,835,0.491,0.286,0.705,28.7,10.4,6.3,1.8,1996
27,28,Anthony Goldwire,"Jan 24, '96, CHH vs. WSB",24,1,42,621,76,189,33,83,46,60,8,43,112,16,0,63,79,231,0.402,0.398,0.767,14.8,5.5,1.0,2.7,1996
28,29,Thomas Hamilton,"Mar 17, '96, BOS vs. NJN",20,1,11,70,9,31,0,0,7,18,10,22,1,0,9,9,12,25,0.29,,0.389,6.4,2.3,2.0,0.1,1996
29,30,Alvin Heggs,"Nov 3, '95, HOU vs. GSW",28,1,4,14,3,5,0,0,2,3,1,2,0,0,0,0,0,8,0.6,,0.667,3.5,2.0,0.5,0.0,1996
30,31,Alan Henderson,"Nov 3, '95, ATL vs. IND",23,1,79,1416,192,434,0,3,119,200,164,356,51,44,43,87,217,503,0.442,0.0,0.595,17.9,6.4,4.5,0.6,1996
31,32,Fred Hoiberg,"Nov 4, '95, IND vs. TOR",23,1,15,85,8,19,1,3,15,18,4,9,8,6,1,7,12,32,0.421,0.333,0.833,5.7,2.1,0.6,0.5,1996
32,33,Darryl Johnson,"Mar 7, '96, CLE vs. ATL",30,1,11,28,5,12,0,1,2,2,2,2,1,0,0,1,3,12,0.417,0.0,1.0,2.5,1.1,0.2,0.1,1996
33,34,Frankie King,"Nov 4, '95, LAL @ SEA",23,1,6,20,3,11,0,1,1,3,1,2,2,2,0,2,4,7,0.273,0.0,0.333,3.3,1.2,0.3,0.3,1996
34,35,Jimmy King,"Nov 3, '95, TOR vs. NJN",22,1,62,868,110,255,5,34,54,77,43,110,88,21,13,60,76,279,0.431,0.147,0.701,14.0,4.5,1.8,1.4,1996
35,36,Voshon Lenard,"Jan 6, '96, MIA @ DEN",22,1,30,323,53,141,36,101,34,43,12,52,31,6,1,23,31,176,0.376,0.356,0.791,10.8,5.9,1.7,1.0,1996
36,37,Cedric Lewis,"Apr 16, '96, WSB @ ORL",26,1,3,4,2,3,0,0,0,0,2,2,0,1,0,0,0,4,0.667,,,1.3,1.3,0.7,0.0,1996
37,38,Martin Lewis,"Feb 22, '96, TOR @ UTA",20,1,16,189,29,60,2,7,15,25,15,29,3,8,3,14,21,75,0.483,0.286,0.6,11.8,4.7,1.8,0.2,1996
38,39,Rich Manning,"Jan 27, '96, VAN @ WSB",25,1,29,311,49,113,0,1,9,14,16,55,7,3,6,17,37,107,0.434,0.0,0.643,10.7,3.7,1.9,0.2,1996
39,40,Donny Marshall,"Nov 3, '95, CLE @ ORL",23,1,34,208,24,68,7,30,22,35,9,26,7,8,2,7,26,77,0.353,0.233,0.629,6.1,2.3,0.8,0.2,1996
40,41,Cuonzo Martin,"Apr 5, '96, VAN @ LAL",24,1,4,19,3,5,3,3,0,2,1,2,2,1,0,1,1,9,0.6,1.0,0.0,4.8,2.3,0.5,0.5,1996
41,42,Clint McDaniel,"Feb 1, '96, SAC vs. CHI",23,1,12,71,8,23,2,6,12,16,3,10,7,5,0,2,10,30,0.348,0.333,0.75,5.9,2.5,0.8,0.6,1996
42,43,Antonio McDyess,"Nov 3, '95, DEN @ LAL",21,1,76,2280,427,881,0,4,166,243,229,572,75,54,114,154,250,1020,0.485,0.0,0.683,30.0,13.4,7.5,1.0,1996
43,44,Loren Meyer,"Nov 3, '95, DAL @ SAS",23,1,72,1266,145,330,3,11,70,102,114,319,57,20,32,67,224,363,0.439,0.273,0.686,17.6,5.0,4.4,0.8,1996
44,45,Lawrence Moten,"Nov 3, '95, VAN @ POR",23,1,44,573,112,247,18,55,49,75,36,61,50,29,8,44,54,291,0.453,0.327,0.653,13.0,6.6,1.4,1.1,1996
45,46,Todd Mundt,"Nov 4, '95, ATL vs. ORL",25,1,33,151,16,41,0,0,5,8,11,28,3,2,5,3,29,37,0.39,,0.625,4.6,1.1,0.8,0.1,1996
46,47,Howard Nathan,"Nov 4, '95, ATL vs. ORL",24,1,5,15,5,9,0,1,3,4,0,0,2,3,0,8,2,13,0.556,0.0,0.75,3.0,2.6,0.0,0.4,1996
47,48,Ed O'Bannon,"Nov 3, '95, NJN @ TOR",23,1,64,1253,156,400,10,56,77,108,65,168,63,44,11,62,95,399,0.39,0.179,0.713,19.6,6.2,2.6,1.0,1996
48,49,Greg Ostertag,"Nov 3, '95, UTA vs. SEA",22,1,57,661,86,182,0,0,36,54,57,175,5,5,63,25,91,208,0.473,,0.667,11.6,3.6,3.1,0.1,1996
49,50,Cherokee Parks,"Nov 3, '95, DAL @ SAS",23,1,64,869,101,247,7,26,41,62,66,216,29,25,32,31,100,250,0.409,0.269,0.661,13.6,3.9,3.4,0.5,1996
50,51,Theo Ratliff,"Nov 3, '95, DET vs. NYK",22,1,75,1305,128,230,0,1,85,120,110,297,13,16,116,56,144,341,0.557,0.0,0.708,17.4,4.5,4.0,0.2,1996
51,52,Bryant Reeves,"Nov 3, '95, VAN @ POR",22,1,77,2460,401,877,0,3,219,299,178,570,109,43,55,157,226,1021,0.457,0.0,0.732,31.9,13.3,7.4,1.4,1996
52,53,Don Reid,"Nov 4, '95, DET @ WSB",22,1,69,997,106,187,0,0,51,77,78,203,11,47,40,41,199,263,0.567,,0.662,14.4,3.8,2.9,0.2,1996
53,54,Terrence Rencher,"Nov 4, '95, MIA vs. CLE",22,1,36,405,33,100,9,29,31,46,9,44,54,16,2,43,37,106,0.33,0.31,0.674,11.3,2.9,1.2,1.5,1996
54,55,Shawn Respert,"Nov 4, '95, MIL vs. NYK",23,1,62,845,113,292,42,122,35,42,28,74,68,32,4,42,67,303,0.387,0.344,0.833,13.6,4.9,1.2,1.1,1996
55,56,Lou Roe,"Nov 3, '95, DET vs. NYK",23,1,49,372,32,90,2,9,24,32,30,78,15,10,8,17,42,90,0.356,0.222,0.75,7.6,1.8,1.6,0.3,1996
56,57,Stefano Rusconi,"Nov 12, '95, PHO vs. GSW",27,1,7,30,3,9,0,0,2,5,3,6,3,0,2,3,10,8,0.333,,0.4,4.3,1.1,0.9,0.4,1996
57,58,Arvydas Sabonis*,"Nov 3, '95, POR vs. VAN",31,1,73,1735,394,723,39,104,231,305,147,588,130,64,78,154,211,1058,0.545,0.375,0.757,23.8,14.5,8.1,1.8,1996
58,59,Joe Smith,"Nov 3, '95, GSW @ HOU",20,1,82,2821,469,1024,10,28,303,392,300,717,79,85,134,138,224,1251,0.458,0.357,0.773,34.4,15.3,8.7,1.0,1996
59,60,Eric Snow,"Nov 3, '95, SEA @ UTA",22,1,43,389,42,100,2,10,29,49,9,43,73,28,0,38,53,115,0.42,0.2,0.592,9.0,2.7,1.0,1.7,1996
60,61,Jerry Stackhouse,"Nov 3, '95, PHI vs. WSB",21,1,72,2701,452,1091,93,292,387,518,90,265,278,76,79,252,179,1384,0.414,0.318,0.747,37.5,19.2,3.7,3.9,1996
61,62,Damon Stoudamire,"Nov 3, '95, TOR vs. NJN",22,1,70,2865,481,1129,133,337,236,296,59,281,653,98,19,267,166,1331,0.426,0.395,0.797,40.9,19.0,4.0,9.3,1996
62,63,Bob Sura,"Nov 3, '95, CLE @ ORL",22,1,79,1150,148,360,27,78,99,141,34,135,233,56,21,115,126,422,0.411,0.346,0.702,14.6,5.3,1.7,2.9,1996
63,64,Larry Sykes,"Nov 15, '95, BOS vs. UTA",22,1,1,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,,,,2.0,0.0,2.0,0.0,1996
64,65,Kurt Thomas,"Nov 4, '95, MIA vs. CLE",23,1,74,1655,274,547,0,2,118,178,122,439,46,47,36,98,271,666,0.501,0.0,0.663,22.4,9.0,5.9,0.6,1996
65,66,Gary Trent,"Nov 3, '95, POR vs. VAN",21,1,69,1219,220,429,0,9,78,141,84,238,50,25,11,92,116,518,0.513,0.0,0.553,17.7,7.5,3.4,0.7,1996
66,67,Logan Vander Velden,"Nov 5, '95, LAC @ SAC",24,1,15,31,3,14,0,5,3,4,1,6,1,0,0,0,4,9,0.214,0.0,0.75,2.1,0.6,0.4,0.1,1996
67,68,David Vaughn,"Nov 4, '95, ORL @ ATL",22,1,33,266,27,80,0,1,10,18,33,80,8,6,15,18,68,64,0.338,0.0,0.556,8.1,1.9,2.4,0.2,1996
68,69,Rasheed Wallace,"Nov 3, '95, WSB @ PHI",21,1,65,1788,275,565,27,82,78,120,93,303,85,42,54,103,206,655,0.487,0.329,0.65,27.5,10.1,4.7,1.3,1996
69,70,Jeff Webster,"Nov 3, '95, WSB @ PHI",24,1,11,58,8,23,2,6,0,0,2,7,3,4,0,3,7,18,0.348,0.333,,5.3,1.6,0.6,0.3,1996
70,71,Dwayne Whitfield,"Feb 27, '96, TOR @ HOU",23,1,8,122,13,30,0,0,14,22,9,25,2,3,2,8,14,40,0.433,,0.636,15.3,5.0,3.1,0.3,1996
71,72,Eric Williams,"Nov 3, '95, BOS vs. MIL",23,1,64,1470,241,546,3,10,200,298,92,217,70,56,11,88,147,685,0.441,0.3,0.671,23.0,10.7,3.4,1.1,1996
72,73,Corliss Williamson,"Dec 10, '95, SAC vs. MIA",22,1,53,609,125,268,0,3,47,84,56,114,23,11,9,76,115,297,0.466,0.0,0.56,11.5,5.6,2.2,0.4,1996
73,74,George Zídek,"Nov 3, '95, CHH @ CHI",22,1,71,888,105,248,0,0,71,93,69,183,16,9,7,38,170,281,0.423,,0.763,12.5,4.0,2.6,0.2,1996
0,1,Shareef Abdur-Rahim,"Nov 1, '96, VAN vs. POR",20,1,80,2802,550,1214,7,27,387,519,216,555,175,79,79,225,199,1494,0.453,0.259,0.746,35.0,18.7,6.9,2.2,1997
1,2,Ray Allen*,"Nov 1, '96, MIL @ PHI",21,1,82,2532,390,908,117,298,205,249,97,326,210,75,10,149,218,1102,0.43,0.393,0.823,30.9,13.4,4.0,2.6,1997
2,3,Shandon Anderson,"Nov 1, '96, UTA vs. SEA",23,1,65,1066,147,318,24,47,68,99,52,179,49,27,8,73,113,386,0.462,0.511,0.687,16.4,5.9,2.8,0.8,1997
3,4,Dexter Boney,"Feb 1, '97, PHO @ TOR",26,1,8,48,6,19,1,6,6,8,3,6,0,2,1,1,3,19,0.316,0.167,0.75,6.0,2.4,0.8,0.0,1997
4,5,Bruce Bowen,"Mar 16, '97, MIA vs. HOU",25,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,1.0,0.0,0.0,0.0,1997
5,6,Mark Bradtke,"Nov 9, '96, PHI vs. PHO",28,1,36,251,25,58,0,0,9,13,26,68,7,5,5,9,34,59,0.431,,0.692,7.0,1.6,1.9,0.2,1997
6,7,Marcus Brown,"Dec 29, '96, POR vs. SAS",22,1,21,184,28,70,13,32,13,19,4,15,20,8,2,13,26,82,0.4,0.406,0.684,8.8,3.9,0.7,1.0,1997
7,8,Kobe Bryant*,"Nov 3, '96, LAL vs. MIN",18,1,71,1103,176,422,51,136,136,166,47,132,91,49,23,112,102,539,0.417,0.375,0.819,15.5,7.6,1.9,1.3,1997
8,9,Marcus Camby,"Nov 1, '96, TOR vs. NYK",22,1,63,1897,375,778,2,14,183,264,131,394,97,66,130,134,214,935,0.482,0.143,0.693,30.1,14.8,6.3,1.5,1997
9,10,Jimmy Carruth,"Mar 17, '97, MIL @ BOS",27,1,4,21,2,3,0,0,1,1,0,4,0,0,2,1,4,5,0.667,,1.0,5.3,1.3,1.0,0.0,1997
10,11,Erick Dampier,"Nov 6, '96, IND @ BOS",21,1,72,1052,131,336,1,1,107,168,96,294,43,19,73,84,153,370,0.39,1.0,0.637,14.6,5.1,4.1,0.6,1997
11,12,Ben Davis,"Nov 7, '96, PHO vs. SEA",24,1,20,98,10,26,0,0,9,20,12,27,0,4,1,3,16,29,0.385,,0.45,4.9,1.5,1.4,0.0,1997
12,13,Emanual Davis,"Nov 1, '96, HOU vs. SAC",28,1,13,230,24,54,12,27,5,8,2,22,26,9,2,17,20,65,0.444,0.444,0.625,17.7,5.0,1.7,2.0,1997
13,14,Tony Delk,"Nov 3, '96, CHH @ NYK",23,1,61,867,119,256,52,112,42,51,31,99,99,36,6,68,71,332,0.465,0.464,0.824,14.2,5.4,1.6,1.6,1997
14,15,Nate Driggers,"Nov 8, '96, BOS vs. PHI",23,1,15,132,13,43,0,9,10,14,12,22,6,3,2,6,10,36,0.302,0.0,0.714,8.8,2.4,1.5,0.4,1997
15,16,Brian Evans,"Jan 28, '97, ORL @ WSB",23,1,14,59,8,22,4,8,0,0,1,8,7,1,2,2,6,20,0.364,0.5,,4.2,1.4,0.6,0.5,1997
16,17,Jamie Feick,"Jan 10, '97, CHH @ PHO",22,1,41,624,56,157,5,14,34,67,82,214,26,16,14,31,78,151,0.357,0.357,0.507,15.2,3.7,5.2,0.6,1997
17,18,Derek Fisher,"Nov 1, '96, LAL vs. PHO",22,1,80,921,104,262,22,73,79,120,25,97,119,41,5,71,87,309,0.397,0.301,0.658,11.5,3.9,1.2,1.5,1997
18,19,Todd Fuller,"Nov 1, '96, GSW vs. LAC",22,1,75,949,114,266,0,0,76,110,108,249,24,10,20,52,146,304,0.429,,0.691,12.7,4.1,3.3,0.3,1997
19,20,Dean Garrett,"Nov 3, '96, MIN @ LAL",30,1,68,1665,223,389,0,0,96,138,149,495,38,40,95,34,158,542,0.573,,0.696,24.5,8.0,7.3,0.6,1997
20,21,Reggie Geary,"Nov 1, '96, CLE @ NJN",23,1,39,246,22,58,8,21,5,11,4,15,36,13,2,15,36,57,0.379,0.381,0.455,6.3,1.5,0.4,0.9,1997
21,22,Devin Gray,"Dec 26, '96, SAC vs. VAN",24,1,6,49,8,26,0,0,2,5,6,14,2,4,0,5,11,18,0.308,,0.4,8.2,3.0,2.3,0.3,1997
22,23,Evric Gray,"Dec 13, '96, NJN vs. CHI",27,1,5,42,4,15,1,4,4,4,1,3,2,1,0,3,5,13,0.267,0.25,1.0,8.4,2.6,0.6,0.4,1997
23,24,Darvin Ham,"Nov 3, '96, DEN @ SAS",23,1,36,318,33,62,0,0,17,35,29,56,14,9,8,22,57,83,0.532,,0.486,8.8,2.3,1.6,0.4,1997
24,25,Steve Hamer,"Jan 31, '97, BOS vs. POR",23,1,35,268,30,57,0,2,16,29,17,60,7,2,4,13,39,76,0.526,0.0,0.552,7.7,2.2,1.7,0.2,1997
25,26,Othella Harrington,"Nov 1, '96, HOU vs. SAC",23,1,57,860,112,204,0,3,49,81,75,198,18,12,22,57,112,273,0.549,0.0,0.605,15.1,4.8,3.5,0.3,1997
26,27,Michael Hawkins,"Feb 11, '97, BOS @ LAC",24,1,29,326,29,68,10,31,12,15,9,31,64,16,1,28,40,80,0.426,0.323,0.8,11.2,2.8,1.1,2.2,1997
27,28,Shane Heal,"Nov 1, '96, MIN vs. SAS",26,1,43,236,26,97,20,65,3,5,2,18,33,3,3,17,20,75,0.268,0.308,0.6,5.5,1.7,0.4,0.8,1997
28,29,Mark Hendrickson,"Nov 20, '96, PHI vs. IND",22,1,29,301,32,77,3,12,18,26,35,92,3,10,4,14,32,85,0.416,0.25,0.692,10.4,2.9,3.2,0.1,1997
29,30,Allen Iverson*,"Nov 1, '96, PHI vs. MIL",21,1,76,3045,625,1504,155,455,382,544,115,312,567,157,24,337,233,1787,0.416,0.341,0.702,40.1,23.5,4.1,7.5,1997
30,31,Kerry Kittles,"Nov 1, '96, NJN vs. CLE",22,1,82,3012,507,1189,158,419,175,227,106,319,249,157,35,127,165,1347,0.426,0.377,0.771,36.7,16.4,3.9,3.0,1997
31,32,Travis Knight,"Nov 1, '96, LAL vs. PHO",22,1,71,1156,140,275,0,0,62,100,130,319,39,31,58,49,170,342,0.509,,0.62,16.3,4.8,4.5,0.5,1997
32,33,Priest Lauderdale,"Nov 2, '96, ATL vs. DET",23,1,35,180,49,89,0,1,13,23,16,43,12,1,9,37,39,111,0.551,0.0,0.565,5.1,3.2,1.2,0.3,1997
33,34,Randy Livingston,"Nov 1, '96, HOU vs. SAC",21,1,64,981,100,229,9,22,42,65,32,94,155,39,12,102,107,251,0.437,0.409,0.646,15.3,3.9,1.5,2.4,1997
34,35,Horacio Llamas,"Mar 2, '97, PHO @ DAL",23,1,20,101,15,28,0,0,4,8,4,18,4,10,5,11,25,34,0.536,,0.5,5.1,1.7,0.9,0.2,1997
35,36,Matt Maloney,"Nov 1, '96, HOU vs. SAC",25,1,82,2386,271,615,154,381,71,93,19,160,303,82,1,122,125,767,0.441,0.404,0.763,29.1,9.4,2.0,3.7,1997
36,37,Stephon Marbury,"Nov 1, '96, MIN vs. SAS",19,1,67,2324,355,871,102,288,245,337,54,184,522,67,19,210,159,1057,0.408,0.354,0.727,34.7,15.8,2.7,7.8,1997
37,38,Walter McCarty,"Nov 3, '96, NYK vs. CHH",22,1,35,192,26,68,4,14,8,14,8,23,13,7,9,17,38,64,0.382,0.286,0.571,5.5,1.8,0.7,0.4,1997
38,39,Amal McCaskill,"Nov 27, '96, ORL vs. ATL",23,1,17,109,10,32,0,2,8,12,4,22,7,3,5,11,7,28,0.313,0.0,0.667,6.4,1.6,1.3,0.4,1997
39,40,Jeff McInnis,"Nov 10, '96, DEN @ CLE",22,1,13,117,23,49,12,26,7,10,2,6,18,2,1,13,16,65,0.469,0.462,0.7,9.0,5.0,0.5,1.4,1997
40,41,Martin Müürsepp,"Dec 21, '96, MIA @ HOU",22,1,42,348,54,131,4,24,44,70,35,67,20,12,11,18,58,156,0.412,0.167,0.629,8.3,3.7,1.6,0.5,1997
41,42,Steve Nash*,"Nov 1, '96, PHO @ LAL",22,1,65,684,74,175,23,55,42,51,16,63,138,20,0,63,92,213,0.423,0.418,0.824,10.5,3.3,1.0,2.1,1997
42,43,Ruben Nembhard,"Jan 11, '97, UTA @ DET",24,1,10,113,16,37,0,6,8,10,3,8,17,9,0,8,12,40,0.432,0.0,0.8,11.3,4.0,0.8,1.7,1997
43,44,Gaylon Nickerson,"Dec 29, '96, SAS @ POR",27,1,4,42,4,12,0,2,7,7,1,5,1,1,1,1,1,15,0.333,0.0,1.0,10.5,3.8,1.3,0.3,1997
44,45,Moochie Norris,"Dec 12, '96, VAN @ POR",23,1,8,89,4,22,2,10,2,5,3,12,23,4,0,5,5,12,0.182,0.2,0.4,11.1,1.5,1.5,2.9,1997
45,46,Jermaine O'Neal,"Dec 5, '96, POR @ DEN",18,1,45,458,69,153,0,1,47,78,39,124,8,2,26,27,46,185,0.451,0.0,0.603,10.2,4.1,2.8,0.2,1997
46,47,Ray Owes,"Nov 1, '96, GSW vs. LAC",24,1,57,592,75,180,1,5,26,46,64,163,15,15,20,23,86,177,0.417,0.2,0.565,10.4,3.1,2.9,0.3,1997
47,48,Vitaly Potapenko,"Nov 1, '96, CLE @ NJN",21,1,80,1238,186,423,1,2,92,125,105,217,40,26,34,109,216,465,0.44,0.5,0.736,15.5,5.8,2.7,0.5,1997
48,49,Chris Robinson,"Nov 30, '96, VAN @ PHI",22,1,41,681,69,182,34,89,16,26,23,71,65,28,9,34,85,188,0.379,0.382,0.615,16.6,4.6,1.7,1.6,1997
49,50,Roy Rogers,"Nov 1, '96, VAN vs. POR",23,1,82,1848,244,483,1,1,54,94,139,386,46,21,163,86,214,543,0.505,1.0,0.574,22.5,6.6,4.7,0.6,1997
50,51,Malik Rose,"Nov 2, '96, CHH vs. TOR",22,1,54,525,61,128,0,2,38,62,70,164,32,28,17,41,114,160,0.477,0.0,0.613,9.7,3.0,3.0,0.6,1997
51,52,Kevin Salvadori,"Dec 19, '96, SAC vs. MIN",26,1,23,154,12,33,0,0,13,18,6,25,10,2,13,12,17,37,0.364,,0.722,6.7,1.6,1.1,0.4,1997
52,53,Jason Sasser,"Jan 7, '97, SAS @ NJN",23,1,8,69,9,23,1,3,0,0,1,8,2,3,0,2,11,19,0.391,0.333,,8.6,2.4,1.0,0.3,1997
53,54,Brent Scott,"Nov 1, '96, IND @ DET",25,1,16,55,8,17,0,0,3,6,3,9,3,1,1,4,14,19,0.471,,0.5,3.4,1.2,0.6,0.2,1997
54,55,James Scott,"Nov 20, '96, MIA @ VAN",24,1,8,32,0,8,0,4,1,2,1,6,3,2,0,2,5,1,0.0,0.0,0.5,4.0,0.1,0.8,0.4,1997
55,56,Shawnelle Scott,"Jan 13, '97, CLE vs. ATL",24,1,16,50,8,16,0,0,4,11,8,16,0,0,3,0,6,20,0.5,,0.364,3.1,1.3,1.0,0.0,1997
56,57,Stevin Smith,"Mar 21, '97, DAL @ ATL",25,1,8,60,6,18,1,6,1,1,2,10,4,1,0,4,9,14,0.333,0.167,1.0,7.5,1.8,1.3,0.5,1997
57,58,Matt Steigenga,"Apr 13, '97, CHI @ DET",26,1,2,12,1,4,0,2,1,2,0,3,2,1,1,2,1,3,0.25,0.0,0.5,6.0,1.5,1.5,1.0,1997
58,59,Joe Stephens,"Feb 14, '97, HOU @ SEA",24,1,2,9,1,5,1,3,0,0,2,3,0,3,0,3,3,3,0.2,0.333,,4.5,1.5,1.5,0.0,1997
59,60,Erick Strickland,"Nov 2, '96, DAL vs. SAC",23,1,28,759,102,256,28,92,65,80,21,90,68,27,5,66,75,297,0.398,0.304,0.813,27.1,10.6,3.2,2.4,1997
60,61,Brett Szabo,"Nov 1, '96, BOS vs. CHI",28,1,70,662,54,121,0,1,45,61,56,165,17,16,32,41,119,153,0.446,0.0,0.738,9.5,2.2,2.4,0.2,1997
61,62,Antoine Walker,"Nov 1, '96, BOS vs. CHI",20,1,82,2970,576,1354,52,159,231,366,288,741,262,105,53,230,271,1435,0.425,0.327,0.631,36.2,17.5,9.0,3.2,1997
62,63,Samaki Walker,"Nov 12, '96, DAL vs. IND",20,1,43,602,83,187,0,1,48,74,47,147,17,15,22,39,71,214,0.444,0.0,0.649,14.0,5.0,3.4,0.4,1997
63,64,Ben Wallace*,"Nov 1, '96, WSB @ ORL",22,1,34,197,16,46,0,0,6,20,25,58,2,8,11,18,27,38,0.348,,0.3,5.8,1.1,1.7,0.1,1997
64,65,John Wallace,"Nov 1, '96, NYK @ TOR",22,1,68,787,122,236,2,4,79,110,51,155,37,21,25,76,102,325,0.517,0.5,0.718,11.6,4.8,2.3,0.5,1997
65,66,Donald Whiteside,"Nov 1, '96, TOR vs. NYK",27,1,27,259,18,55,12,36,11,15,2,12,36,11,0,17,23,59,0.327,0.333,0.733,9.6,2.2,0.4,1.3,1997
66,67,Jerome Williams,"Nov 2, '96, DET @ ATL",23,1,33,177,20,51,0,0,9,17,22,50,7,13,1,13,18,49,0.392,,0.529,5.4,1.5,1.5,0.2,1997
67,68,Lorenzen Wright,"Nov 5, '96, LAC @ DEN",21,1,77,1936,236,491,1,4,88,150,206,471,49,48,60,79,211,561,0.481,0.25,0.587,25.1,7.3,6.1,0.6,1997
68,69,Aleksandar Djordjevic,"Nov 29, '96, POR vs. GSW",29,1,8,61,8,16,5,7,4,5,1,5,5,0,0,5,3,25,0.5,0.714,0.8,7.6,3.1,0.6,0.6,1997
0,1,Tariq Abdul-Wahad,"Nov 11, '97, SAC @ MIA",23,1,59,959,144,357,4,19,84,125,44,116,51,35,13,65,81,376,0.403,0.211,0.672,16.3,6.4,2.0,0.9,1998
1,2,Derek Anderson,"Oct 31, '97, CLE @ HOU",23,1,66,1839,239,586,17,84,275,315,55,187,227,86,13,128,136,770,0.408,0.202,0.873,27.9,11.7,2.8,3.4,1998
2,3,Chris Anstey,"Nov 8, '97, DAL vs. POR",23,1,41,680,92,231,3,16,53,74,53,157,35,31,27,41,95,240,0.398,0.188,0.716,16.6,5.9,3.8,0.9,1998
3,4,Drew Barry,"Jan 21, '98, ATL @ SAS",24,1,27,256,18,38,9,21,11,13,5,35,49,10,1,30,28,56,0.474,0.429,0.846,9.5,2.1,1.3,1.8,1998
4,5,Tony Battie,"Oct 31, '97, DEN vs. SAS",21,1,65,1506,234,525,3,14,73,104,138,351,60,54,69,98,199,544,0.446,0.214,0.702,23.2,8.4,5.4,0.9,1998
5,6,Chauncey Billups,"Oct 31, '97, BOS vs. CHI",21,1,80,2216,280,749,107,325,226,266,62,190,314,107,4,174,172,893,0.374,0.329,0.85,27.7,11.2,2.4,3.9,1998
6,7,Etdrick Bohannon,"Dec 26, '97, IND vs. ORL",24,1,5,11,0,4,0,0,0,0,2,6,1,0,2,3,3,0,0.0,,,2.2,0.0,1.2,0.2,1998
7,8,Keith Booth,"Nov 8, '97, CHI vs. NJN",23,1,6,17,2,6,0,1,6,6,2,4,1,0,0,3,3,10,0.333,0.0,1.0,2.8,1.7,0.7,0.2,1998
8,9,Rick Brunson,"Dec 2, '97, POR vs. ORL",25,1,38,622,49,141,22,61,42,62,14,56,100,25,3,52,55,162,0.348,0.361,0.677,16.4,4.3,1.5,2.6,1998
9,10,Kelvin Cato,"Oct 31, '97, POR vs. SEA",23,1,74,1007,98,229,0,3,86,125,91,252,23,29,94,44,164,282,0.428,0.0,0.688,13.6,3.8,3.4,0.3,1998
10,11,Keith Closs,"Nov 1, '97, LAC vs. POR",21,1,58,740,93,207,0,0,46,77,63,168,19,12,81,38,73,232,0.449,,0.597,12.8,4.0,2.9,0.3,1998
11,12,James Collins,"Dec 10, '97, LAC @ SAS",24,1,23,103,21,55,9,20,8,14,7,14,3,6,3,8,12,59,0.382,0.45,0.571,4.5,2.6,0.6,0.1,1998
12,13,James Cotton,"Dec 2, '97, SEA @ WAS",22,1,9,33,8,21,0,4,8,9,2,6,0,1,1,6,3,24,0.381,0.0,0.889,3.7,2.7,0.7,0.0,1998
13,14,Chris Crawford,"Nov 14, '97, ATL vs. SAC",22,1,40,256,46,110,1,3,57,68,20,41,9,12,7,18,27,150,0.418,0.333,0.838,6.4,3.8,1.0,0.2,1998
14,15,Austin Croshere,"Nov 20, '97, IND @ MIL",22,1,26,243,32,86,4,13,8,14,10,45,8,9,5,13,32,76,0.372,0.308,0.571,9.3,2.9,1.7,0.3,1998
