,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
24,25,Robert Horry,"Nov 6, '92, HOU vs. SEA",22,1,79,2330,323,682,12,47,143,200,113,392,191,80,83,156,210,801,0.474,0.255,0.715,29.5,10.1,5.0,2.4,1993
25,26,Byron Houston,"Nov 6, '92, GSW @ UTA",23,1,79,1274,145,325,2,7,129,194,119,315,69,44,43,87,253,421,0.446,0.286,0.665,16.1,5.3,4.0,0.9,1993
26,27,Stephen Howard,"Nov 6, '92, UTA vs. GSW",22,1,49,260,35,93,0,0,34,53,26,60,10,15,12,23,58,104,0.376,,0.642,5.3,2.1,1.2,0.2,1993
27,28,Jim Jackson,"Mar 5, '93, DAL vs. HOU",22,1,28,938,184,466,21,73,68,92,42,122,131,40,11,115,80,457,0.395,0.288,0.739,33.5,16.3,4.4,4.7,1993
28,29,Keith Jennings,"Nov 6, '92, GSW @ UTA",24,1,8,136,25,42,5,9,14,18,2,11,23,4,0,7,18,69,0.595,0.556,0.778,17.0,8.6,1.4,2.9,1993
29,30,Dave Johnson,"Nov 8, '92, POR vs. DEN",22,1,42,356,57,149,3,14,40,59,18,48,13,8,1,28,23,157,0.383,0.214,0.678,8.5,3.7,1.1,0.3,1993
30,31,Thomas Jordan,"Apr 20, '93, PHI @ CHI",24,1,4,106,18,41,0,0,8,17,5,19,3,3,5,12,14,44,0.439,,0.471,26.5,11.0,4.8,0.8,1993
31,32,Adam Keefe,"Nov 6, '92, ATL vs. NYK",22,1,82,1549,188,376,0,1,166,237,171,432,80,57,16,100,195,542,0.5,0.0,0.7,18.9,6.6,5.3,1.0,1993
32,33,Christian Laettner,"Nov 6, '92, MIN @ BOS",23,1,81,2823,503,1061,4,40,462,553,171,708,223,105,83,275,290,1472,0.474,0.1,0.835,34.9,18.2,8.7,2.8,1993
33,34,Sam Mack,"Nov 7, '92, SAS @ DEN",22,1,40,267,47,118,3,22,45,58,18,48,15,14,5,22,44,142,0.398,0.136,0.776,6.7,3.6,1.2,0.4,1993
