Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year,BR ID
Lamont Strothers,"Jan 11, '92, POR @ CHH",23,1,4,17,4,12,0,2,2,4,1,1,1,1,1,2,2,10,0.333,0.0,0.5,4.3,2.5,0.3,0.3,1992,strotla01
Greg Sutton,"Nov 1, '91, SAS vs. DAL",24,1,67,601,93,240,26,89,34,45,6,47,91,26,9,70,111,246,0.388,0.292,0.756,9.0,3.7,0.7,1.4,1992,suttogr01
Carl Thomas,"Nov 2, '91, SAC @ GSW",22,1,1,31,5,12,1,2,1,2,0,0,1,1,0,1,3,12,0.417,0.5,0.5,31.0,12.0,0.0,1.0,1992,thomaca01
Charles Thomas,"Nov 1, '91, DET vs. MIL",22,1,36,156,18,51,2,17,10,15,6,22,22,4,1,17,20,48,0.353,0.118,0.667,4.3,1.3,0.6,0.6,1992,thomach01
Stephen Thompson,"Jan 4, '92, ORL @ DEN",23,1,19,91,14,37,0,1,3,8,11,19,8,6,3,5,9,31,0.378,0.0,0.375,4.8,1.6,1.0,0.4,1992,thompst01
John Turner,"Nov 7, '91, HOU vs. CLE",24,1,42,345,43,98,0,0,31,59,38,78,12,6,4,32,40,117,0.439,,0.525,8.2,2.8,1.9,0.3,1992,turnejo01
João Vianna,"Nov 1, '91, DAL @ SAS",25,1,1,9,1,2,0,0,0,0,0,0,2,0,0,1,3,2,0.5,,,9.0,2.0,0.0,2.0,1992,viannjo01
Eric Anderson,"Nov 16, '92, NYK @ POR",22,1,16,44,5,18,0,0,11,13,6,14,3,3,1,5,14,21,0.278,,0.846,2.8,1.3,0.9,0.2,1993,anderer01
Anthony Avent,"Nov 6, '92, MIL @ DET",23,1,82,2285,347,802,0,2,112,172,180,512,91,57,73,140,237,806,0.433,0.0,0.651,27.9,9.8,6.2,1.1,1993,aventan01
Jon Barry,"Dec 8, '92, MIL @ POR",23,1,47,552,76,206,21,63,33,49,10,43,68,35,3,42,57,206,0.369,0.333,0.673,11.7,4.4,0.9,1.4,1993,barryjo01
