Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year,BR ID
Fred Hoiberg,"Nov 4, '95, IND vs. TOR",23,1,15,85,8,19,1,3,15,18,4,9,8,6,1,7,12,32,0.421,0.333,0.833,5.7,2.1,0.6,0.5,1996,hoibefr01
Darryl Johnson,"Mar 7, '96, CLE vs. ATL",30,1,11,28,5,12,0,1,2,2,2,2,1,0,0,1,3,12,0.417,0.0,1.0,2.5,1.1,0.2,0.1,1996,johnsda02
Frankie King,"Nov 4, '95, LAL @ SEA",23,1,6,20,3,11,0,1,1,3,1,2,2,2,0,2,4,7,0.273,0.0,0.333,3.3,1.2,0.3,0.3,1996,kingfr01
Jimmy King,"Nov 3, '95, TOR vs. NJN",22,1,62,868,110,255,5,34,54,77,43,110,88,21,13,60,76,279,0.431,0.147,0.701,14.0,4.5,1.8,1.4,1996,kingji02
Voshon Lenard,"Jan 6, '96, MIA @ DEN",22,1,30,323,53,141,36,101,34,43,12,52,31,6,1,23,31,176,0.376,0.356,0.791,10.8,5.9,1.7,1.0,1996,lenarvo01
Cedric Lewis,"Apr 16, '96, WSB @ ORL",26,1,3,4,2,3,0,0,0,0,2,2,0,1,0,0,0,4,0.667,,,1.3,1.3,0.7,0.0,1996,lewisce01
Martin Lewis,"Feb 22, '96, TOR @ UTA",20,1,16,189,29,60,2,7,15,25,15,29,3,8,3,14,21,75,0.483,0.286,0.6,11.8,4.7,1.8,0.2,1996,lewisma01
Rich Manning,"Jan 27, '96, VAN @ WSB",25,1,29,311,49,113,0,1,9,14,16,55,7,3,6,17,37,107,0.434,0.0,0.643,10.7,3.7,1.9,0.2,1996,manniri01
Donny Marshall,"Nov 3, '95, CLE @ ORL",23,1,34,208,24,68,7,30,22,35,9,26,7,8,2,7,26,77,0.353,0.233,0.629,6.1,2.3,0.8,0.2,1996,marshdo02
Cuonzo Martin,"Apr 5, '96, VAN @ LAL",24,1,4,19,3,5,3,3,0,2,1,2,2,1,0,1,1,9,0.6,1.0,0.0,4.8,2.3,0.5,0.5,1996,marticu01
Clint McDaniel,"Feb 1, '96, SAC vs. CHI",23,1,12,71,8,23,2,6,12,16,3,10,7,5,0,2,10,30,0.348,0.333,0.75,5.9,2.5,0.8,0.6,1996,mcdancl01
Antonio McDyess,"Nov 3, '95, DEN @ LAL",21,1,76,2280,427,881,0,4,166,243,229,572,75,54,114,154,250,1020,0.485,0.0,0.683,30.0,13.4,7.5,1.0,1996,mcdyean01
Loren Meyer,"Nov 3, '95, DAL @ SAS",23,1,72,1266,145,330,3,11,70,102,114,319,57,20,32,67,224,363,0.439,0.273,0.686,17.6,5.0,4.4,0.8,1996,meyerlo01
Lawrence Moten,"Nov 3, '95, VAN @ POR",23,1,44,573,112,247,18,55,49,75,36,61,50,29,8,44,54,291,0.453,0.327,0.653,13.0,6.6,1.4,1.1,1996,motenla01
Todd Mundt,"Nov 4, '95, ATL vs. ORL",25,1,33,151,16,41,0,0,5,8,11,28,3,2,5,3,29,37,0.39,,0.625,4.6,1.1,0.8,0.1,1996,mundtto01
Howard Nathan,"Nov 4, '95, ATL vs. ORL",24,1,5,15,5,9,0,1,3,4,0,0,2,3,0,8,2,13,0.556,0.0,0.75,3.0,2.6,0.0,0.4,1996,nathaho01
Ed O'Bannon,"Nov 3, '95, NJN @ TOR",23,1,64,1253,156,400,10,56,77,108,65,168,63,44,11,62,95,399,0.39,0.179,0.713,19.6,6.2,2.6,1.0,1996,obanned01
Greg Ostertag,"Nov 3, '95, UTA vs. SEA",22,1,57,661,86,182,0,0,36,54,57,175,5,5,63,25,91,208,0.473,,0.667,11.6,3.6,3.1,0.1,1996,ostergr01
Cherokee Parks,"Nov 3, '95, DAL @ SAS",23,1,64,869,101,247,7,26,41,62,66,216,29,25,32,31,100,250,0.409,0.269,0.661,13.6,3.9,3.4,0.5,1996,parksch02
Theo Ratliff,"Nov 3, '95, DET vs. NYK",22,1,75,1305,128,230,0,1,85,120,110,297,13,16,116,56,144,341,0.557,0.0,0.708,17.4,4.5,4.0,0.2,1996,ratlith01
Bryant Reeves,"Nov 3, '95, VAN @ POR",22,1,77,2460,401,877,0,3,219,299,178,570,109,43,55,157,226,1021,0.457,0.0,0.732,31.9,13.3,7.4,1.4,1996,reevebr01
Don Reid,"Nov 4, '95, DET @ WSB",22,1,69,997,106,187,0,0,51,77,78,203,11,47,40,41,199,263,0.567,,0.662,14.4,3.8,2.9,0.2,1996,reiddo01
Terrence Rencher,"Nov 4, '95, MIA vs. CLE",22,1,36,405,33,100,9,29,31,46,9,44,54,16,2,43,37,106,0.33,0.31,0.674,11.3,2.9,1.2,1.5,1996,renchte01
Shawn Respert,"Nov 4, '95, MIL vs. NYK",23,1,62,845,113,292,42,122,35,42,28,74,68,32,4,42,67,303,0.387,0.344,0.833,13.6,4.9,1.2,1.1,1996,respesh01
Lou Roe,"Nov 3, '95, DET vs. NYK",23,1,49,372,32,90,2,9,24,32,30,78,15,10,8,17,42,90,0.356,0.222,0.75,7.6,1.8,1.6,0.3,1996,roelo01
Stefano Rusconi,"Nov 12, '95, PHO vs. GSW",27,1,7,30,3,9,0,0,2,5,3,6,3,0,2,3,10,8,0.333,,0.4,4.3,1.1,0.9,0.4,1996,ruscost01
Arvydas Sabonis*,"Nov 3, '95, POR vs. VAN",31,1,73,1735,394,723,39,104,231,305,147,588,130,64,78,154,211,1058,0.545,0.375,0.757,23.8,14.5,8.1,1.8,1996,sabonar01
Joe Smith,"Nov 3, '95, GSW @ HOU",20,1,82,2821,469,1024,10,28,303,392,300,717,79,85,134,138,224,1251,0.458,0.357,0.773,34.4,15.3,8.7,1.0,1996,smithjo02
Eric Snow,"Nov 3, '95, SEA @ UTA",22,1,43,389,42,100,2,10,29,49,9,43,73,28,0,38,53,115,0.42,0.2,0.592,9.0,2.7,1.0,1.7,1996,snower01
Jerry Stackhouse,"Nov 3, '95, PHI vs. WSB",21,1,72,2701,452,1091,93,292,387,518,90,265,278,76,79,252,179,1384,0.414,0.318,0.747,37.5,19.2,3.7,3.9,1996,stackje01
Damon Stoudamire,"Nov 3, '95, TOR vs. NJN",22,1,70,2865,481,1129,133,337,236,296,59,281,653,98,19,267,166,1331,0.426,0.395,0.797,40.9,19.0,4.0,9.3,1996,stoudda01
Bob Sura,"Nov 3, '95, CLE @ ORL",22,1,79,1150,148,360,27,78,99,141,34,135,233,56,21,115,126,422,0.411,0.346,0.702,14.6,5.3,1.7,2.9,1996,surabo01
Larry Sykes,"Nov 15, '95, BOS vs. UTA",22,1,1,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,,,,2.0,0.0,2.0,0.0,1996,sykesla01
Kurt Thomas,"Nov 4, '95, MIA vs. CLE",23,1,74,1655,274,547,0,2,118,178,122,439,46,47,36,98,271,666,0.501,0.0,0.663,22.4,9.0,5.9,0.6,1996,thomaku01
Gary Trent,"Nov 3, '95, POR vs. VAN",21,1,69,1219,220,429,0,9,78,141,84,238,50,25,11,92,116,518,0.513,0.0,0.553,17.7,7.5,3.4,0.7,1996,trentga01
Logan Vander Velden,"Nov 5, '95, LAC @ SAC",24,1,15,31,3,14,0,5,3,4,1,6,1,0,0,0,4,9,0.214,0.0,0.75,2.1,0.6,0.4,0.1,1996,vandelo01
David Vaughn,"Nov 4, '95, ORL @ ATL",22,1,33,266,27,80,0,1,10,18,33,80,8,6,15,18,68,64,0.338,0.0,0.556,8.1,1.9,2.4,0.2,1996,vaughda02
Rasheed Wallace,"Nov 3, '95, WSB @ PHI",21,1,65,1788,275,565,27,82,78,120,93,303,85,42,54,103,206,655,0.487,0.329,0.65,27.5,10.1,4.7,1.3,1996,wallara01
Jeff Webster,"Nov 3, '95, WSB @ PHI",24,1,11,58,8,23,2,6,0,0,2,7,3,4,0,3,7,18,0.348,0.333,,5.3,1.6,0.6,0.3,1996,webstje01
Dwayne Whitfield,"Feb 27, '96, TOR @ HOU",23,1,8,122,13,30,0,0,14,22,9,25,2,3,2,8,14,40,0.433,,0.636,15.3,5.0,3.1,0.3,1996,whitfdw01
Eric Williams,"Nov 3, '95, BOS vs. MIL",23,1,64,1470,241,546,3,10,200,298,92,217,70,56,11,88,147,685,0.441,0.3,0.671,23.0,10.7,3.4,1.1,1996,willier01
Corliss Williamson,"Dec 10, '95, SAC vs. MIA",22,1,53,609,125,268,0,3,47,84,56,114,23,11,9,76,115,297,0.466,0.0,0.56,11.5,5.6,2.2,0.4,1996,willico02
George Zídek,"Nov 3, '95, CHH @ CHI",22,1,71,888,105,248,0,0,71,93,69,183,16,9,7,38,170,281,0.423,,0.763,12.5,4.0,2.6,0.2,1996,zidekge01
Shareef Abdur-Rahim,"Nov 1, '96, VAN vs. POR",20,1,80,2802,550,1214,7,27,387,519,216,555,175,79,79,225,199,1494,0.453,0.259,0.746,35.0,18.7,6.9,2.2,1997,abdursh01
Ray Allen*,"Nov 1, '96, MIL @ PHI",21,1,82,2532,390,908,117,298,205,249,97,326,210,75,10,149,218,1102,0.43,0.393,0.823,30.9,13.4,4.0,2.6,1997,allenra02
Shandon Anderson,"Nov 1, '96, UTA vs. SEA",23,1,65,1066,147,318,24,47,68,99,52,179,49,27,8,73,113,386,0.462,0.511,0.687,16.4,5.9,2.8,0.8,1997,andersh01
Dexter Boney,"Feb 1, '97, PHO @ TOR",26,1,8,48,6,19,1,6,6,8,3,6,0,2,1,1,3,19,0.316,0.167,0.75,6.0,2.4,0.8,0.0,1997,boneyde01
Bruce Bowen,"Mar 16, '97, MIA vs. HOU",25,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,1.0,0.0,0.0,0.0,1997,bowenbr01
Mark Bradtke,"Nov 9, '96, PHI vs. PHO",28,1,36,251,25,58,0,0,9,13,26,68,7,5,5,9,34,59,0.431,,0.692,7.0,1.6,1.9,0.2,1997,bradtma01
Marcus Brown,"Dec 29, '96, POR vs. SAS",22,1,21,184,28,70,13,32,13,19,4,15,20,8,2,13,26,82,0.4,0.406,0.684,8.8,3.9,0.7,1.0,1997,brownma01
Kobe Bryant*,"Nov 3, '96, LAL vs. MIN",18,1,71,1103,176,422,51,136,136,166,47,132,91,49,23,112,102,539,0.417,0.375,0.819,15.5,7.6,1.9,1.3,1997,bryanko01
Marcus Camby,"Nov 1, '96, TOR vs. NYK",22,1,63,1897,375,778,2,14,183,264,131,394,97,66,130,134,214,935,0.482,0.143,0.693,30.1,14.8,6.3,1.5,1997,cambyma01
Jimmy Carruth,"Mar 17, '97, MIL @ BOS",27,1,4,21,2,3,0,0,1,1,0,4,0,0,2,1,4,5,0.667,,1.0,5.3,1.3,1.0,0.0,1997,carruji01
Erick Dampier,"Nov 6, '96, IND @ BOS",21,1,72,1052,131,336,1,1,107,168,96,294,43,19,73,84,153,370,0.39,1.0,0.637,14.6,5.1,4.1,0.6,1997,dampier01
Ben Davis,"Nov 7, '96, PHO vs. SEA",24,1,20,98,10,26,0,0,9,20,12,27,0,4,1,3,16,29,0.385,,0.45,4.9,1.5,1.4,0.0,1997,davisbe01
Emanual Davis,"Nov 1, '96, HOU vs. SAC",28,1,13,230,24,54,12,27,5,8,2,22,26,9,2,17,20,65,0.444,0.444,0.625,17.7,5.0,1.7,2.0,1997,davisem01
Tony Delk,"Nov 3, '96, CHH @ NYK",23,1,61,867,119,256,52,112,42,51,31,99,99,36,6,68,71,332,0.465,0.464,0.824,14.2,5.4,1.6,1.6,1997,delkto01
Nate Driggers,"Nov 8, '96, BOS vs. PHI",23,1,15,132,13,43,0,9,10,14,12,22,6,3,2,6,10,36,0.302,0.0,0.714,8.8,2.4,1.5,0.4,1997,driggna01
Brian Evans,"Jan 28, '97, ORL @ WSB",23,1,14,59,8,22,4,8,0,0,1,8,7,1,2,2,6,20,0.364,0.5,,4.2,1.4,0.6,0.5,1997,evansbr01
Jamie Feick,"Jan 10, '97, CHH @ PHO",22,1,41,624,56,157,5,14,34,67,82,214,26,16,14,31,78,151,0.357,0.357,0.507,15.2,3.7,5.2,0.6,1997,feickja01
Derek Fisher,"Nov 1, '96, LAL vs. PHO",22,1,80,921,104,262,22,73,79,120,25,97,119,41,5,71,87,309,0.397,0.301,0.658,11.5,3.9,1.2,1.5,1997,fishede01
Todd Fuller,"Nov 1, '96, GSW vs. LAC",22,1,75,949,114,266,0,0,76,110,108,249,24,10,20,52,146,304,0.429,,0.691,12.7,4.1,3.3,0.3,1997,fulleto02
Dean Garrett,"Nov 3, '96, MIN @ LAL",30,1,68,1665,223,389,0,0,96,138,149,495,38,40,95,34,158,542,0.573,,0.696,24.5,8.0,7.3,0.6,1997,garrede01
Reggie Geary,"Nov 1, '96, CLE @ NJN",23,1,39,246,22,58,8,21,5,11,4,15,36,13,2,15,36,57,0.379,0.381,0.455,6.3,1.5,0.4,0.9,1997,gearyre01
Devin Gray,"Dec 26, '96, SAC vs. VAN",24,1,6,49,8,26,0,0,2,5,6,14,2,4,0,5,11,18,0.308,,0.4,8.2,3.0,2.3,0.3,1997,grayde01
Evric Gray,"Dec 13, '96, NJN vs. CHI",27,1,5,42,4,15,1,4,4,4,1,3,2,1,0,3,5,13,0.267,0.25,1.0,8.4,2.6,0.6,0.4,1997,grayev01
Darvin Ham,"Nov 3, '96, DEN @ SAS",23,1,36,318,33,62,0,0,17,35,29,56,14,9,8,22,57,83,0.532,,0.486,8.8,2.3,1.6,0.4,1997,hamda01
Steve Hamer,"Jan 31, '97, BOS vs. POR",23,1,35,268,30,57,0,2,16,29,17,60,7,2,4,13,39,76,0.526,0.0,0.552,7.7,2.2,1.7,0.2,1997,hamerst01
Othella Harrington,"Nov 1, '96, HOU vs. SAC",23,1,57,860,112,204,0,3,49,81,75,198,18,12,22,57,112,273,0.549,0.0,0.605,15.1,4.8,3.5,0.3,1997,harriot01
Michael Hawkins,"Feb 11, '97, BOS @ LAC",24,1,29,326,29,68,10,31,12,15,9,31,64,16,1,28,40,80,0.426,0.323,0.8,11.2,2.8,1.1,2.2,1997,hawkimi01
Shane Heal,"Nov 1, '96, MIN vs. SAS",26,1,43,236,26,97,20,65,3,5,2,18,33,3,3,17,20,75,0.268,0.308,0.6,5.5,1.7,0.4,0.8,1997,healsh01
Mark Hendrickson,"Nov 20, '96, PHI vs. IND",22,1,29,301,32,77,3,12,18,26,35,92,3,10,4,14,32,85,0.416,0.25,0.692,10.4,2.9,3.2,0.1,1997,hendrma01
Allen Iverson*,"Nov 1, '96, PHI vs. MIL",21,1,76,3045,625,1504,155,455,382,544,115,312,567,157,24,337,233,1787,0.416,0.341,0.702,40.1,23.5,4.1,7.5,1997,iversal01
Kerry Kittles,"Nov 1, '96, NJN vs. CLE",22,1,82,3012,507,1189,158,419,175,227,106,319,249,157,35,127,165,1347,0.426,0.377,0.771,36.7,16.4,3.9,3.0,1997,kittlke01
Travis Knight,"Nov 1, '96, LAL vs. PHO",22,1,71,1156,140,275,0,0,62,100,130,319,39,31,58,49,170,342,0.509,,0.62,16.3,4.8,4.5,0.5,1997,knightr01
Priest Lauderdale,"Nov 2, '96, ATL vs. DET",23,1,35,180,49,89,0,1,13,23,16,43,12,1,9,37,39,111,0.551,0.0,0.565,5.1,3.2,1.2,0.3,1997,laudepr01
Randy Livingston,"Nov 1, '96, HOU vs. SAC",21,1,64,981,100,229,9,22,42,65,32,94,155,39,12,102,107,251,0.437,0.409,0.646,15.3,3.9,1.5,2.4,1997,livinra01
Horacio Llamas,"Mar 2, '97, PHO @ DAL",23,1,20,101,15,28,0,0,4,8,4,18,4,10,5,11,25,34,0.536,,0.5,5.1,1.7,0.9,0.2,1997,llamaho01
Matt Maloney,"Nov 1, '96, HOU vs. SAC",25,1,82,2386,271,615,154,381,71,93,19,160,303,82,1,122,125,767,0.441,0.404,0.763,29.1,9.4,2.0,3.7,1997,malonma01
Stephon Marbury,"Nov 1, '96, MIN vs. SAS",19,1,67,2324,355,871,102,288,245,337,54,184,522,67,19,210,159,1057,0.408,0.354,0.727,34.7,15.8,2.7,7.8,1997,marbust01
Walter McCarty,"Nov 3, '96, NYK vs. CHH",22,1,35,192,26,68,4,14,8,14,8,23,13,7,9,17,38,64,0.382,0.286,0.571,5.5,1.8,0.7,0.4,1997,mccarwa01
Amal McCaskill,"Nov 27, '96, ORL vs. ATL",23,1,17,109,10,32,0,2,8,12,4,22,7,3,5,11,7,28,0.313,0.0,0.667,6.4,1.6,1.3,0.4,1997,mccasam01
Jeff McInnis,"Nov 10, '96, DEN @ CLE",22,1,13,117,23,49,12,26,7,10,2,6,18,2,1,13,16,65,0.469,0.462,0.7,9.0,5.0,0.5,1.4,1997,mcinnje01
Martin Müürsepp,"Dec 21, '96, MIA @ HOU",22,1,42,348,54,131,4,24,44,70,35,67,20,12,11,18,58,156,0.412,0.167,0.629,8.3,3.7,1.6,0.5,1997,muursma01
Steve Nash*,"Nov 1, '96, PHO @ LAL",22,1,65,684,74,175,23,55,42,51,16,63,138,20,0,63,92,213,0.423,0.418,0.824,10.5,3.3,1.0,2.1,1997,nashst01
Ruben Nembhard,"Jan 11, '97, UTA @ DET",24,1,10,113,16,37,0,6,8,10,3,8,17,9,0,8,12,40,0.432,0.0,0.8,11.3,4.0,0.8,1.7,1997,nembhru01
Gaylon Nickerson,"Dec 29, '96, SAS @ POR",27,1,4,42,4,12,0,2,7,7,1,5,1,1,1,1,1,15,0.333,0.0,1.0,10.5,3.8,1.3,0.3,1997,nickega01
Moochie Norris,"Dec 12, '96, VAN @ POR",23,1,8,89,4,22,2,10,2,5,3,12,23,4,0,5,5,12,0.182,0.2,0.4,11.1,1.5,1.5,2.9,1997,norrimo01
Jermaine O'Neal,"Dec 5, '96, POR @ DEN",18,1,45,458,69,153,0,1,47,78,39,124,8,2,26,27,46,185,0.451,0.0,0.603,10.2,4.1,2.8,0.2,1997,onealje01
Ray Owes,"Nov 1, '96, GSW vs. LAC",24,1,57,592,75,180,1,5,26,46,64,163,15,15,20,23,86,177,0.417,0.2,0.565,10.4,3.1,2.9,0.3,1997,owesra01
Vitaly Potapenko,"Nov 1, '96, CLE @ NJN",21,1,80,1238,186,423,1,2,92,125,105,217,40,26,34,109,216,465,0.44,0.5,0.736,15.5,5.8,2.7,0.5,1997,potapvi01
Chris Robinson,"Nov 30, '96, VAN @ PHI",22,1,41,681,69,182,34,89,16,26,23,71,65,28,9,34,85,188,0.379,0.382,0.615,16.6,4.6,1.7,1.6,1997,robinch01
Roy Rogers,"Nov 1, '96, VAN vs. POR",23,1,82,1848,244,483,1,1,54,94,139,386,46,21,163,86,214,543,0.505,1.0,0.574,22.5,6.6,4.7,0.6,1997,rogerro02
Malik Rose,"Nov 2, '96, CHH vs. TOR",22,1,54,525,61,128,0,2,38,62,70,164,32,28,17,41,114,160,0.477,0.0,0.613,9.7,3.0,3.0,0.6,1997,rosema01
Kevin Salvadori,"Dec 19, '96, SAC vs. MIN",26,1,23,154,12,33,0,0,13,18,6,25,10,2,13,12,17,37,0.364,,0.722,6.7,1.6,1.1,0.4,1997,salvake01
Jason Sasser,"Jan 7, '97, SAS @ NJN",23,1,8,69,9,23,1,3,0,0,1,8,2,3,0,2,11,19,0.391,0.333,,8.6,2.4,1.0,0.3,1997,sasseja01
Brent Scott,"Nov 1, '96, IND @ DET",25,1,16,55,8,17,0,0,3,6,3,9,3,1,1,4,14,19,0.471,,0.5,3.4,1.2,0.6,0.2,1997,scottbr01
James Scott,"Nov 20, '96, MIA @ VAN",24,1,8,32,0,8,0,4,1,2,1,6,3,2,0,2,5,1,0.0,0.0,0.5,4.0,0.1,0.8,0.4,1997,scottja01
Shawnelle Scott,"Jan 13, '97, CLE vs. ATL",24,1,16,50,8,16,0,0,4,11,8,16,0,0,3,0,6,20,0.5,,0.364,3.1,1.3,1.0,0.0,1997,scottsh01
Stevin Smith,"Mar 21, '97, DAL @ ATL",25,1,8,60,6,18,1,6,1,1,2,10,4,1,0,4,9,14,0.333,0.167,1.0,7.5,1.8,1.3,0.5,1997,smithst02
Matt Steigenga,"Apr 13, '97, CHI @ DET",26,1,2,12,1,4,0,2,1,2,0,3,2,1,1,2,1,3,0.25,0.0,0.5,6.0,1.5,1.5,1.0,1997,steigma01
Joe Stephens,"Feb 14, '97, HOU @ SEA",24,1,2,9,1,5,1,3,0,0,2,3,0,3,0,3,3,3,0.2,0.333,,4.5,1.5,1.5,0.0,1997,stephjo01
Erick Strickland,"Nov 2, '96, DAL vs. SAC",23,1,28,759,102,256,28,92,65,80,21,90,68,27,5,66,75,297,0.398,0.304,0.813,27.1,10.6,3.2,2.4,1997,stricer01
Brett Szabo,"Nov 1, '96, BOS vs. CHI",28,1,70,662,54,121,0,1,45,61,56,165,17,16,32,41,119,153,0.446,0.0,0.738,9.5,2.2,2.4,0.2,1997,szabobr01
Antoine Walker,"Nov 1, '96, BOS vs. CHI",20,1,82,2970,576,1354,52,159,231,366,288,741,262,105,53,230,271,1435,0.425,0.327,0.631,36.2,17.5,9.0,3.2,1997,walkean02
Samaki Walker,"Nov 12, '96, DAL vs. IND",20,1,43,602,83,187,0,1,48,74,47,147,17,15,22,39,71,214,0.444,0.0,0.649,14.0,5.0,3.4,0.4,1997,walkesa01
Ben Wallace*,"Nov 1, '96, WSB @ ORL",22,1,34,197,16,46,0,0,6,20,25,58,2,8,11,18,27,38,0.348,,0.3,5.8,1.1,1.7,0.1,1997,wallabe01
John Wallace,"Nov 1, '96, NYK @ TOR",22,1,68,787,122,236,2,4,79,110,51,155,37,21,25,76,102,325,0.517,0.5,0.718,11.6,4.8,2.3,0.5,1997,wallajo01
Donald Whiteside,"Nov 1, '96, TOR vs. NYK",27,1,27,259,18,55,12,36,11,15,2,12,36,11,0,17,23,59,0.327,0.333,0.733,9.6,2.2,0.4,1.3,1997,whitedo01
Jerome Williams,"Nov 2, '96, DET @ ATL",23,1,33,177,20,51,0,0,9,17,22,50,7,13,1,13,18,49,0.392,,0.529,5.4,1.5,1.5,0.2,1997,willije01
Lorenzen Wright,"Nov 5, '96, LAC @ DEN",21,1,77,1936,236,491,1,4,88,150,206,471,49,48,60,79,211,561,0.481,0.25,0.587,25.1,7.3,6.1,0.6,1997,wrighlo02
Aleksandar Djordjevic,"Nov 29, '96, POR vs. GSW",29,1,8,61,8,16,5,7,4,5,1,5,5,0,0,5,3,25,0.5,0.714,0.8,7.6,3.1,0.6,0.6,1997,djordal01
Tariq Abdul-Wahad,"Nov 11, '97, SAC @ MIA",23,1,59,959,144,357,4,19,84,125,44,116,51,35,13,65,81,376,0.403,0.211,0.672,16.3,6.4,2.0,0.9,1998,abdulta01
Derek Anderson,"Oct 31, '97, CLE @ HOU",23,1,66,1839,239,586,17,84,275,315,55,187,227,86,13,128,136,770,0.408,0.202,0.873,27.9,11.7,2.8,3.4,1998,anderde01
Chris Anstey,"Nov 8, '97, DAL vs. POR",23,1,41,680,92,231,3,16,53,74,53,157,35,31,27,41,95,240,0.398,0.188,0.716,16.6,5.9,3.8,0.9,1998,anstech01
Drew Barry,"Jan 21, '98, ATL @ SAS",24,1,27,256,18,38,9,21,11,13,5,35,49,10,1,30,28,56,0.474,0.429,0.846,9.5,2.1,1.3,1.8,1998,barrydr01
Tony Battie,"Oct 31, '97, DEN vs. SAS",21,1,65,1506,234,525,3,14,73,104,138,351,60,54,69,98,199,544,0.446,0.214,0.702,23.2,8.4,5.4,0.9,1998,battito01
Chauncey Billups,"Oct 31, '97, BOS vs. CHI",21,1,80,2216,280,749,107,325,226,266,62,190,314,107,4,174,172,893,0.374,0.329,0.85,27.7,11.2,2.4,3.9,1998,billuch01
Etdrick Bohannon,"Dec 26, '97, IND vs. ORL",24,1,5,11,0,4,0,0,0,0,2,6,1,0,2,3,3,0,0.0,,,2.2,0.0,1.2,0.2,1998,bohanet01
Keith Booth,"Nov 8, '97, CHI vs. NJN",23,1,6,17,2,6,0,1,6,6,2,4,1,0,0,3,3,10,0.333,0.0,1.0,2.8,1.7,0.7,0.2,1998,boothke01
Rick Brunson,"Dec 2, '97, POR vs. ORL",25,1,38,622,49,141,22,61,42,62,14,56,100,25,3,52,55,162,0.348,0.361,0.677,16.4,4.3,1.5,2.6,1998,brunsri01
Kelvin Cato,"Oct 31, '97, POR vs. SEA",23,1,74,1007,98,229,0,3,86,125,91,252,23,29,94,44,164,282,0.428,0.0,0.688,13.6,3.8,3.4,0.3,1998,catoke01
Keith Closs,"Nov 1, '97, LAC vs. POR",21,1,58,740,93,207,0,0,46,77,63,168,19,12,81,38,73,232,0.449,,0.597,12.8,4.0,2.9,0.3,1998,closske01
James Collins,"Dec 10, '97, LAC @ SAS",24,1,23,103,21,55,9,20,8,14,7,14,3,6,3,8,12,59,0.382,0.45,0.571,4.5,2.6,0.6,0.1,1998,collija01
James Cotton,"Dec 2, '97, SEA @ WAS",22,1,9,33,8,21,0,4,8,9,2,6,0,1,1,6,3,24,0.381,0.0,0.889,3.7,2.7,0.7,0.0,1998,cottoja02
Chris Crawford,"Nov 14, '97, ATL vs. SAC",22,1,40,256,46,110,1,3,57,68,20,41,9,12,7,18,27,150,0.418,0.333,0.838,6.4,3.8,1.0,0.2,1998,crawfch01
Austin Croshere,"Nov 20, '97, IND @ MIL",22,1,26,243,32,86,4,13,8,14,10,45,8,9,5,13,32,76,0.372,0.308,0.571,9.3,2.9,1.7,0.3,1998,croshau01
William Cunningham,"Feb 14, '98, UTA @ SEA",23,1,7,39,4,9,0,0,0,0,4,10,1,2,0,0,10,8,0.444,,,5.6,1.1,1.4,0.1,1998,cunniwi01
Antonio Daniels,"Oct 31, '97, VAN vs. DAL",22,1,74,1956,228,548,11,52,112,170,22,143,334,55,10,164,88,579,0.416,0.212,0.659,26.4,7.8,1.9,4.5,1998,daniean01
Tim Duncan*,"Oct 31, '97, SAS @ DEN",21,1,82,3204,706,1287,0,10,319,482,274,977,224,55,206,279,254,1731,0.549,0.0,0.662,39.1,21.1,11.9,2.7,1998,duncati01
Tony Farmer,"Oct 31, '97, CHH vs. NYK",28,1,27,169,17,53,2,9,31,39,16,32,5,10,4,9,23,67,0.321,0.222,0.795,6.3,2.5,1.2,0.2,1998,farmeto01
Danny Fortson,"Oct 31, '97, DEN vs. SAS",21,1,80,1811,276,611,1,3,263,339,182,448,76,44,30,157,314,816,0.452,0.333,0.776,22.6,10.2,5.6,1.0,1998,fortsda01
Adonal Foyle,"Oct 31, '97, GSW @ MIN",22,1,55,656,69,170,0,1,27,62,73,184,14,13,52,50,94,165,0.406,0.0,0.435,11.9,3.0,3.3,0.3,1998,foylead01
Lawrence Funderburke,"Nov 2, '97, SAC vs. HOU",27,1,52,1094,191,390,1,7,110,162,80,234,63,19,15,62,56,493,0.49,0.143,0.679,21.0,9.5,4.5,1.2,1998,fundela01
Chris Garner,"Oct 31, '97, TOR @ MIA",22,1,38,293,23,70,4,14,3,7,7,24,45,21,4,25,50,53,0.329,0.286,0.429,7.7,1.4,0.6,1.2,1998,garnech01
Kiwane Lemorris Garris,"Dec 3, '97, DEN vs. LAL",23,1,28,225,22,65,5,14,19,25,3,19,28,7,1,15,22,68,0.338,0.357,0.76,8.0,2.4,0.7,1.0,1998,garriki01
Ed Gray,"Oct 31, '97, ATL @ ORL",22,1,30,472,77,202,18,46,55,65,9,45,34,15,11,30,73,227,0.381,0.391,0.846,15.7,7.6,1.5,1.1,1998,grayed01
Derek Grimm,"Nov 1, '97, SAC @ VAN",23,1,9,34,4,14,4,12,2,2,0,4,0,3,1,3,6,14,0.286,0.333,1.0,3.8,1.6,0.4,0.0,1998,grimmde01
Reggie Hanson,"Mar 27, '98, BOS @ NJN",29,1,8,26,3,6,0,0,0,0,3,6,1,2,1,3,8,6,0.5,,,3.3,0.8,0.8,0.1,1998,hansore01
