Date,assists,assistsTurnoverRatio,benchPoints,biggestLead,biggestLeadScore,biggestScoringRun,biggestScoringRunScore,blocks,blocksReceived,fastBreakPointsAttempted,fastBreakPointsMade,fastBreakPointsPercentage,fieldGoalsAttempted,fieldGoalsEffectiveAdjusted,fieldGoalsMade,fieldGoalsPercentage,foulsOffensive,foulsDrawn,foulsPersonal,foulsTeam,foulsTechnical,foulsTeamTechnical,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,leadChanges,minutes,minutesCalculated,points,pointsAgainst,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsInThePaintAttempted,pointsInThePaintMade,pointsInThePaintPercentage,pointsSecondChance,reboundsDefensive,reboundsOffensive,reboundsPersonal,reboundsTeam,reboundsTeamDefensive,reboundsTeamOffensive,reboundsTotal,secondChancePointsAttempted,secondChancePointsMade,secondChancePointsPercentage,steals,threePointersAttempted,threePointersMade,threePointersPercentage,timeLeading,timesTied,trueShootingAttempts,trueShootingPercentage,turnovers,turnoversTeam,turnoversTotal,twoPointersAttempted,twoPointersMade,twoPointersPercentage,Home/Away,Game ID
2022-10-19T19:30:00-04:00,31.0,2.38461538461538,35.0,26.0,92-66,9.0,20-4,4.0,10.0,9.0,5.0,0.555555555555556,102.0,0.549019607843137,50.0,0.49019607843137203,0.0,25.0,21.0,21.0,0.0,0.0,25.0,18.0,0.72,0.0,PT240M00.00S,PT240M,130.0,108.0,13.0,26.0,62.0,62.0,31.0,0.5,36.0,40.0,21.0,61.0,7.0,1.0,6.0,68.0,22.0,15.0,0.681818181818182,9.0,26.0,12.0,0.461538461538462,PT46M55.00S,0.0,113.0,0.575221238938053,12.0,1.0,13.0,76.0,38.0,0.5,Away,0022200006
2022-10-19T19:30:00-04:00,22.0,1.375,34.0,0.0,92-66,8.0,106-81,10.0,4.0,14.0,7.0,0.5,89.0,0.50561797752809,40.0,0.449438202247191,3.0,21.0,25.0,22.0,1.0,0.0,24.0,18.0,0.75,0.0,PT240M00.00S,PT240M,108.0,130.0,18.0,17.0,46.0,39.0,23.0,0.58974358974359,4.0,30.0,9.0,39.0,7.0,2.0,5.0,46.0,11.0,2.0,0.18181818181818202,10.0,33.0,10.0,0.303030303030303,PT00M00.00S,0.0,99.56,0.542386500602652,16.0,0.0,16.0,56.0,30.0,0.535714285714286,Home,0022200006
2022-10-19T19:30:00-04:00,23.0,1.53333333333333,37.0,15.0,93-78,12.0,81-68,6.0,2.0,10.0,4.0,0.4,93.0,0.510752688172043,41.0,0.440860215053763,4.0,24.0,26.0,22.0,0.0,1.0,28.0,21.0,0.75,3.0,PT240M00.00S,PT240M,116.0,108.0,8.0,17.0,32.0,34.0,16.0,0.470588235294118,11.0,34.0,12.0,46.0,11.0,3.0,8.0,57.0,10.0,3.0,0.3,12.0,36.0,13.0,0.361111111111111,PT24M19.96S,2.0,105.32,0.5507026205848841,14.0,1.0,15.0,57.0,28.0,0.491228070175439,Away,0022200007
2022-10-19T19:30:00-04:00,21.0,1.10526315789474,40.0,9.0,4-13,12.0,81-68,2.0,6.0,5.0,4.0,0.8,80.0,0.5375,37.0,0.4625,3.0,26.0,24.0,21.0,0.0,0.0,28.0,22.0,0.785714285714286,3.0,PT240M00.00S,PT240M,108.0,116.0,8.0,12.0,48.0,46.0,24.0,0.521739130434783,15.0,38.0,8.0,46.0,5.0,1.0,4.0,51.0,9.0,7.0,0.777777777777778,6.0,28.0,12.0,0.428571428571429,PT22M10.99S,2.0,92.32,0.584922010398614,19.0,0.0,19.0,52.0,25.0,0.480769230769231,Home,0022200007
2022-10-19T19:30:00-04:00,25.0,1.47058823529412,33.0,8.0,62-54,13.0,35-33,5.0,4.0,4.0,3.0,0.75,77.0,0.558441558441558,38.0,0.493506493506494,1.0,23.0,21.0,20.0,0.0,0.0,23.0,19.0,0.826086956521739,16.0,PT240M00.00S,PT240M,105.0,108.0,7.0,20.0,52.0,42.0,26.0,0.619047619047619,4.0,32.0,6.0,38.0,8.0,4.0,4.0,46.0,3.0,1.0,0.333333333333333,5.0,28.0,10.0,0.357142857142857,PT23M06.00S,17.0,87.12,0.6026170798898071,17.0,0.0,17.0,49.0,28.0,0.5714285714285711,Away,0022200008
2022-10-19T19:30:00-04:00,19.0,1.46153846153846,18.0,11.0,22-33,12.0,22-33,4.0,5.0,7.0,5.0,0.714285714285714,86.0,0.494186046511628,36.0,0.418604651162791,4.0,21.0,23.0,19.0,0.0,0.0,32.0,23.0,0.71875,16.0,PT240M00.00S,PT240M,108.0,105.0,20.0,25.0,36.0,43.0,18.0,0.418604651162791,18.0,29.0,12.0,41.0,15.0,4.0,11.0,56.0,14.0,7.0,0.5,15.0,30.0,13.0,0.433333333333333,PT16M05.04S,17.0,100.08,0.539568345323741,13.0,0.0,13.0,56.0,23.0,0.410714285714286,Home,0022200008
2022-10-19T19:30:00-04:00,28.0,2.33333333333333,44.0,2.0,17-15,10.0,77-80,5.0,7.0,18.0,8.0,0.444444444444444,109.0,0.444954128440367,44.0,0.403669724770642,3.0,17.0,26.0,23.0,0.0,0.0,18.0,15.0,0.833333333333334,4.0,PT265M00.00S,PT265M,112.0,115.0,19.0,16.0,68.0,65.0,34.0,0.523076923076923,19.0,36.0,18.0,54.0,10.0,6.0,4.0,64.0,17.0,8.0,0.470588235294118,7.0,37.0,9.0,0.243243243243243,PT00M36.00S,10.0,116.92,0.47895997263085904,12.0,0.0,12.0,72.0,35.0,0.486111111111111,Away,0022200009
2022-10-19T19:30:00-04:00,27.0,1.92857142857143,32.0,19.0,48-67,10.0,77-80,7.0,5.0,15.0,8.0,0.533333333333333,108.0,0.467592592592593,42.0,0.388888888888889,2.0,26.0,17.0,15.0,1.0,0.0,23.0,14.0,0.608695652173913,4.0,PT265M00.00S,PT265M,115.0,112.0,21.0,11.0,48.0,54.0,24.0,0.444444444444444,20.0,44.0,20.0,64.0,15.0,2.0,13.0,79.0,18.0,7.0,0.388888888888889,6.0,50.0,17.0,0.34,PT47M03.07S,10.0,118.12,0.48679309177108004,13.0,1.0,14.0,58.0,25.0,0.431034482758621,Home,0022200009
2022-10-19T20:00:00-04:00,22.0,1.57142857142857,36.0,6.0,87-81,14.0,74-76,6.0,5.0,14.0,5.0,0.357142857142857,99.0,0.454545454545454,38.0,0.38383838383838403,2.0,21.0,26.0,24.0,0.0,0.0,22.0,18.0,0.818181818181818,6.0,PT240M00.00S,PT240M,108.0,115.0,17.0,21.0,38.0,41.0,19.0,0.463414634146342,22.0,41.0,16.0,57.0,7.0,1.0,6.0,64.0,15.0,7.0,0.466666666666667,6.0,45.0,14.0,0.311111111111111,PT02M34.94S,5.0,108.68,0.496871549503128,13.0,1.0,14.0,54.0,24.0,0.444444444444444,Away,0022200010
2022-10-19T20:00:00-04:00,25.0,1.78571428571429,30.0,16.0,49-65,12.0,72-76,5.0,6.0,9.0,5.0,0.555555555555556,94.0,0.468085106382979,39.0,0.41489361702127703,4.0,26.0,21.0,17.0,1.0,0.0,33.0,27.0,0.818181818181818,6.0,PT240M00.00S,PT240M,115.0,108.0,10.0,18.0,50.0,48.0,25.0,0.520833333333333,24.0,41.0,14.0,55.0,7.0,2.0,5.0,62.0,14.0,9.0,0.642857142857143,6.0,38.0,10.0,0.26315789473684204,PT43M01.00S,5.0,108.52,0.5298562476962769,14.0,0.0,14.0,56.0,29.0,0.517857142857143,Home,0022200010
